4/3/25 19:33:1, Microphone: 3, Temp =  79.01, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.49
4/3/25 19:36:19, Microphone: -38, Temp =  80.26, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:36:21, Microphone: -30, Temp =  80.27, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:36:23, Microphone: 0, Temp =  80.28, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:36:24, Microphone: 12, Temp =  80.21, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.49

4/3/25 19:36:26, Microphone: -9, Temp =  80.27, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:36:28, Microphone: -8, Temp =  80.31, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:36:29, Microphone: -1, Temp =  80.34, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:36:31, Microphone: -50, Temp =  80.34, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.14

4/3/25 19:36:33, Microphone: -59, Temp =  80.30, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.80, GyroZ =  0.35

4/3/25 19:36:34, Microphone: 21, Temp =  80.29, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:36:36, Microphone: 16, Temp =  80.30, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:36:37, Microphone: 63, Temp =  80.30, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.80, GyroZ =  0.35

4/3/25 19:36:39, Microphone: 55, Temp =  80.28, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:36:41, Microphone: 13, Temp =  80.30, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:36:42, Microphone: -29, Temp =  80.35, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.15, GyroZ =  0.49

4/3/25 19:36:44, Microphone: -40, Temp =  80.23, AccX =  -0.03, AccY =  -0.02, AccZ =  1.01, GyroX =  -0.14, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:36:45, Microphone: 10, Temp =  80.18, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.94, GyroZ =  0.49

4/3/25 19:36:47, Microphone: -30, Temp =  80.27, AccX =  -0.03, AccY =  -0.02, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.28

